person_name|movie_name|year
Joaquin Phoenix|Joker|2020
Rami Malek|Bohemian Rhapsody|2019
Gary Oldman|Darkest Hour|2018
Casey Affleck|Manchester by the Sea|2017
Leonardo DiCaprio|The Revenant|2016
Eddie Redmayne|The Theory of Everything|2015
Matthew McConaughey|Dallas Buyers Club|2014
Daniel Day-Lewis|Lincoln|2013
Jean Dujardin|The Artist|2012
Colin Firth|The King's Speech|2011
Jeff Bridges|Crazy Heart|2010
Sean Penn|Milk|2009
Daniel Day-Lewis|There Will Be Blood|2008
Forest Whitaker|The Last King of Scotland|2007
Philip Seymour Hoffman|Capote|2006
Jamie Foxx|Ray|2005
Sean Penn|Mystic River|2004
Adrien Brody|The Pianist|2003
Denzel Washington|Training Day|2002
Russell Crowe|Gladiator|2001
Kevin Spacey|American Beauty|2000
Roberto Benigni|Life Is Beautiful|1999
Jack Nicholson|As Good as It Gets|1998
Geoffrey Rush|Shine|1997
Nicolas Cage|Leaving Las Vegas|1996
Tom Hanks|Forrest Gump|1995
Tom Hanks|Philadelphia|1994
Al Pacino|Scent of a Woman|1993
Anthony Hopkins|The Silence of the Lambs|1992
Jeremy Irons|Reversal of Fortune|1991
Daniel Day-Lewis|My Left Foot|1990
Dustin Hoffman|Rain Man|1989
Michael Douglas|Wall Street|1988
Paul Newman|The Color of Money|1987
William Hurt|Kiss of the Spider Woman|1986
F. Murray Abraham|Amadeus|1985
Robert Duvall|Tender Mercies|1984
Ben Kingsley|Gandhi|1983
Henry Fonda|On Golden Pond|1982
Robert De Niro|Raging Bull|1981
Dustin Hoffman|Kramer vs. Kramer|1980
Jon Voight|Coming Home|1979
Richard Dreyfuss|The Goodbye Girl|1978
Peter Finch|Network|1977
Jack Nicholson|One Flew Over the Cuckoo's Nest|1976
Art Carney|Harry and Tonto|1975
Jack Lemmon|Save the Tiger|1974
Marlon Brando|The Godfather|1973
Gene Hackman|The French Connection|1972
George C. Scott|Patton|1971
John Wayne|True Grit|1970
Cliff Robertson|Charly|1969
Rod Steiger|In the Heat of the Night|1968
Paul Scofield|A Man for All Seasons|1967
Lee Marvin|Cat Ballou|1966
Rex Harrison|My Fair Lady|1965
Sidney Poitier|Lilies of the Field|1964
Gregory Peck|To Kill a Mockingbird|1963
Maximilian Schell|Judgment at Nuremberg|1962
Burt Lancaster|Elmer Gantry|1961
Charlton Heston|Ben-Hur|1960
David Niven|Separate Tables|1959
Alec Guinness|The Bridge on the River Kwai|1958
Yul Brynner|The King and I|1957
Ernest Borgnine|Marty|1956
Marlon Brando|On the Waterfront|1955
William Holden|Stalag 17|1954
Gary Cooper|High Noon|1953
Humphrey Bogart|The African Queen|1952
José Ferrer|Cyrano de Bergerac|1951
Broderick Crawford|All the King's Men|1950
Laurence Olivier|Hamlet|1949
Ronald Colman|A Double Life|1948
Fredric March|The Best Years of Our Lives|1947
Ray Milland|The Lost Weekend|1946
Bing Crosby|Going My Way|1945
Paul Lukas|Watch on the Rhine|1944
James Cagney|Yankee Doodle Dandy|1943
Gary Cooper|Sergeant York|1942
James Stewart|The Philadelphia Story|1941
Robert Donat|Goodbye Mr. Chips|1940
